County,Precinct,Registered Voters,"Daniel J. """"Danny"""" Porter (I) (Rep)_Election Day Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Advanced Voting Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Absentee by Mail Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Provisional Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Choice Total",Patsy Austin-Gatson (Dem)_Election Day Votes,Patsy Austin-Gatson (Dem)_Advanced Voting Votes,Patsy Austin-Gatson (Dem)_Absentee by Mail Votes,Patsy Austin-Gatson (Dem)_Provisional Votes,Patsy Austin-Gatson (Dem)_Choice Total,Total Votes
Gwinnett,ROCKBRIDGE D,3642.0,76.0,389.0,209.0,1.0,675.0,195.0,1151.0,623.0,6.0,1975.0,2650.0
Gwinnett,GOODWINS C,5804.0,316.0,642.0,377.0,0.0,1335.0,400.0,1188.0,852.0,1.0,2441.0,3776.0
Gwinnett,BAYCREEK K,3824.0,165.0,707.0,385.0,0.0,1257.0,150.0,936.0,498.0,1.0,1585.0,2842.0
Gwinnett,CATES K,2810.0,259.0,525.0,291.0,3.0,1078.0,146.0,536.0,329.0,0.0,1011.0,2089.0
Gwinnett,BAYCREEK C,6499.0,324.0,1077.0,408.0,3.0,1812.0,355.0,1726.0,857.0,0.0,2938.0,4750.0
Gwinnett,CATES L,4185.0,232.0,622.0,347.0,0.0,1201.0,255.0,939.0,537.0,4.0,1735.0,2936.0
Gwinnett,DULUTH E,4814.0,226.0,543.0,268.0,0.0,1037.0,396.0,1137.0,722.0,7.0,2262.0,3299.0
Gwinnett,GOODWINS D,4406.0,388.0,679.0,340.0,1.0,1408.0,339.0,701.0,538.0,2.0,1580.0,2988.0
Gwinnett,LAWRENCEVILLE G,3046.0,114.0,317.0,146.0,1.0,578.0,243.0,742.0,413.0,1.0,1399.0,1977.0
Gwinnett,LAWRENCEVILLE H,4296.0,303.0,797.0,403.0,4.0,1507.0,219.0,809.0,543.0,2.0,1573.0,3080.0
Gwinnett,MARTINS F,2570.0,144.0,167.0,108.0,3.0,422.0,231.0,469.0,340.0,3.0,1043.0,1465.0
Gwinnett,PINCKNEYVILLE S,3374.0,192.0,337.0,252.0,2.0,783.0,325.0,593.0,412.0,5.0,1335.0,2118.0
Gwinnett,ROCKBRIDGE E,4638.0,155.0,356.0,169.0,1.0,681.0,382.0,1143.0,724.0,3.0,2252.0,2933.0
Gwinnett,SUGAR HILL E,3589.0,330.0,779.0,343.0,3.0,1455.0,149.0,643.0,362.0,4.0,1158.0,2613.0
Gwinnett,LAWRENCEVILLE I,3312.0,213.0,394.0,224.0,0.0,831.0,263.0,631.0,410.0,2.0,1306.0,2137.0
Gwinnett,BAYCREEK D,4609.0,317.0,881.0,379.0,0.0,1577.0,196.0,1016.0,597.0,0.0,1809.0,3386.0
Gwinnett,BERKSHIRE J,2731.0,172.0,614.0,345.0,0.0,1131.0,104.0,522.0,372.0,2.0,1000.0,2131.0
Gwinnett,CATES M,3988.0,287.0,909.0,514.0,1.0,1711.0,153.0,770.0,536.0,2.0,1461.0,3172.0
Gwinnett,CATES N,2567.0,242.0,579.0,382.0,1.0,1204.0,127.0,364.0,271.0,0.0,762.0,1966.0
Gwinnett,DULUTH F,6161.0,195.0,408.0,283.0,6.0,892.0,466.0,1388.0,908.0,14.0,2776.0,3668.0
Gwinnett,DULUTH G,3067.0,294.0,553.0,381.0,1.0,1229.0,155.0,463.0,399.0,2.0,1019.0,2248.0
Gwinnett,GOODWINS E,5491.0,432.0,888.0,491.0,1.0,1812.0,311.0,1005.0,696.0,1.0,2013.0,3825.0
Gwinnett,GOODWINS F,3212.0,200.0,471.0,275.0,0.0,946.0,180.0,592.0,450.0,0.0,1222.0,2168.0
Gwinnett,PINCKNEYVILLE T,3201.0,213.0,335.0,292.0,4.0,844.0,217.0,572.0,383.0,1.0,1173.0,2017.0
Gwinnett,SUWANEE B,4656.0,255.0,1154.0,465.0,0.0,1874.0,119.0,933.0,562.0,0.0,1614.0,3488.0
Gwinnett,PINCKNEYVILLE U,2090.0,205.0,213.0,164.0,0.0,582.0,215.0,398.0,264.0,5.0,882.0,1464.0
Gwinnett,PUCKETTS B,3096.0,296.0,904.0,285.0,1.0,1486.0,111.0,459.0,260.0,0.0,830.0,2316.0
Gwinnett,BERKSHIRE L,3265.0,162.0,268.0,174.0,0.0,604.0,331.0,677.0,421.0,1.0,1430.0,2034.0
Gwinnett,ROCKBRIDGE F,5795.0,84.0,466.0,246.0,1.0,797.0,306.0,2121.0,836.0,4.0,3267.0,4064.0
Gwinnett,SUGAR HILL F,4112.0,404.0,893.0,373.0,5.0,1675.0,198.0,588.0,447.0,2.0,1235.0,2910.0
Gwinnett,SUWANEE C,5675.0,360.0,1089.0,570.0,6.0,2025.0,198.0,960.0,787.0,2.0,1947.0,3972.0
Gwinnett,CATES O,1434.0,167.0,241.0,153.0,3.0,564.0,90.0,252.0,193.0,2.0,537.0,1101.0
Gwinnett,BAYCREEK E,3265.0,197.0,451.0,204.0,1.0,853.0,214.0,735.0,409.0,4.0,1362.0,2215.0
Gwinnett,BERKSHIRE M,1864.0,182.0,365.0,218.0,2.0,767.0,96.0,304.0,235.0,0.0,635.0,1402.0
Gwinnett,MARTINS G,2425.0,134.0,207.0,111.0,1.0,453.0,254.0,496.0,277.0,0.0,1027.0,1480.0
Gwinnett,DULUTH H,2813.0,174.0,466.0,323.0,3.0,966.0,143.0,450.0,475.0,2.0,1070.0,2036.0
Gwinnett,BERKSHIRE N,3128.0,117.0,768.0,409.0,1.0,1295.0,85.0,604.0,454.0,0.0,1143.0,2438.0
Gwinnett,PINCKNEYVILLE V,1706.0,108.0,199.0,111.0,1.0,419.0,110.0,334.0,195.0,1.0,640.0,1059.0
Gwinnett,PINCKNEYVILLE W,4253.0,248.0,530.0,421.0,2.0,1201.0,257.0,752.0,537.0,5.0,1551.0,2752.0
Gwinnett,MARTINS H,5037.0,248.0,533.0,377.0,6.0,1164.0,383.0,1033.0,675.0,8.0,2099.0,3263.0
Gwinnett,MARTINS I,4078.0,159.0,367.0,238.0,3.0,767.0,361.0,800.0,508.0,3.0,1672.0,2439.0
Gwinnett,MARTINS J,3923.0,154.0,248.0,129.0,4.0,535.0,463.0,923.0,501.0,5.0,1892.0,2427.0
Gwinnett,GARNERS F,1796.0,122.0,354.0,180.0,1.0,657.0,93.0,337.0,231.0,2.0,663.0,1320.0
Gwinnett,BERKSHIRE O,2589.0,190.0,522.0,331.0,1.0,1044.0,119.0,422.0,331.0,2.0,874.0,1918.0
Gwinnett,BERKSHIRE P,1476.0,101.0,152.0,80.0,1.0,334.0,122.0,239.0,181.0,1.0,543.0,877.0
Gwinnett,PINCKNEYVILLE X,3412.0,234.0,591.0,433.0,8.0,1266.0,174.0,584.0,573.0,9.0,1340.0,2606.0
Gwinnett,ROCKBRIDGE G,5799.0,141.0,416.0,232.0,2.0,791.0,382.0,1832.0,910.0,14.0,3138.0,3929.0
Gwinnett,PINCKNEYVILLE Y,3272.0,105.0,171.0,99.0,2.0,377.0,348.0,648.0,329.0,0.0,1325.0,1702.0
Gwinnett,GOODWINS G,2661.0,144.0,279.0,108.0,3.0,534.0,256.0,580.0,345.0,1.0,1182.0,1716.0
Gwinnett,PINCKNEYVILLE Z,1898.0,310.0,380.0,349.0,0.0,1039.0,79.0,195.0,283.0,0.0,557.0,1596.0
Gwinnett,PINCKNEYVILLE A1,2694.0,315.0,602.0,522.0,0.0,1439.0,90.0,330.0,407.0,0.0,827.0,2266.0
Gwinnett,LAWRENCEVILLE J,2249.0,149.0,227.0,107.0,0.0,483.0,187.0,538.0,285.0,3.0,1013.0,1496.0
Gwinnett,GOODWINS H,2796.0,216.0,496.0,205.0,0.0,917.0,164.0,526.0,366.0,2.0,1058.0,1975.0
Gwinnett,DUNCANS B,5387.0,565.0,1682.0,512.0,4.0,2763.0,213.0,742.0,468.0,2.0,1425.0,4188.0
Gwinnett,SUWANEE D,4732.0,438.0,1317.0,560.0,1.0,2316.0,158.0,694.0,561.0,2.0,1415.0,3731.0
Gwinnett,SUWANEE E,4256.0,369.0,1131.0,500.0,1.0,2001.0,118.0,722.0,512.0,1.0,1353.0,3354.0
Gwinnett,LAWRENCEVILLE K,3282.0,269.0,614.0,337.0,0.0,1220.0,175.0,616.0,438.0,0.0,1229.0,2449.0
Gwinnett,HARBINS B,4845.0,340.0,1271.0,351.0,1.0,1963.0,192.0,869.0,408.0,3.0,1472.0,3435.0
Gwinnett,BAYCREEK F,4608.0,238.0,582.0,267.0,6.0,1093.0,281.0,1325.0,627.0,6.0,2239.0,3332.0
Gwinnett,PUCKETTS C,3367.0,264.0,901.0,256.0,1.0,1422.0,122.0,505.0,314.0,0.0,941.0,2363.0
Gwinnett,HOG MOUNTAIN C,4292.0,351.0,930.0,360.0,0.0,1641.0,190.0,684.0,467.0,2.0,1343.0,2984.0
Gwinnett,ROCKYCREEK B,5061.0,371.0,1263.0,402.0,1.0,2037.0,225.0,932.0,470.0,2.0,1629.0,3666.0
Gwinnett,DULUTH I,5105.0,301.0,946.0,696.0,0.0,1943.0,178.0,724.0,836.0,1.0,1739.0,3682.0
Gwinnett,MARTINS K,5352.0,209.0,402.0,292.0,0.0,903.0,478.0,1345.0,759.0,4.0,2586.0,3489.0
Gwinnett,SUWANEE H,3785.0,336.0,1206.0,513.0,0.0,2055.0,106.0,500.0,396.0,1.0,1003.0,3058.0
Gwinnett,SUGAR HILL G,2814.0,288.0,799.0,282.0,0.0,1369.0,79.0,374.0,347.0,1.0,801.0,2170.0
Gwinnett,SUWANEE F,3966.0,305.0,819.0,353.0,2.0,1479.0,166.0,702.0,538.0,2.0,1408.0,2887.0
Gwinnett,LAWRENCEVILLE L,4802.0,228.0,772.0,395.0,0.0,1395.0,270.0,1089.0,655.0,2.0,2016.0,3411.0
Gwinnett,LAWRENCEVILLE M,7255.0,252.0,591.0,302.0,3.0,1148.0,509.0,2016.0,1021.0,5.0,3551.0,4699.0
Gwinnett,BAYCREEK G,6241.0,264.0,811.0,322.0,0.0,1397.0,323.0,1927.0,876.0,1.0,3127.0,4524.0
Gwinnett,BAYCREEK H,6811.0,367.0,1403.0,577.0,1.0,2348.0,326.0,1689.0,865.0,4.0,2884.0,5232.0
Gwinnett,BAYCREEK I,5899.0,260.0,814.0,394.0,6.0,1474.0,312.0,1478.0,745.0,5.0,2540.0,4014.0
Gwinnett,BERKSHIRE Q,1802.0,156.0,307.0,190.0,1.0,654.0,109.0,285.0,212.0,1.0,607.0,1261.0
Gwinnett,GOODWINS I,2501.0,249.0,413.0,310.0,0.0,972.0,150.0,444.0,330.0,0.0,924.0,1896.0
Gwinnett,DULUTH K,2786.0,86.0,160.0,93.0,1.0,340.0,219.0,557.0,303.0,1.0,1080.0,1420.0
Gwinnett,HARBINS C,2850.0,386.0,633.0,196.0,2.0,1217.0,163.0,584.0,259.0,1.0,1007.0,2224.0
Gwinnett,ROCKYCREEK C,4806.0,344.0,1218.0,393.0,0.0,1955.0,227.0,930.0,509.0,4.0,1670.0,3625.0
Gwinnett,LAWRENCEVILLE N,2573.0,174.0,294.0,174.0,1.0,643.0,202.0,462.0,264.0,6.0,934.0,1577.0
Gwinnett,PUCKETTS D,3622.0,255.0,967.0,366.0,4.0,1592.0,141.0,559.0,365.0,1.0,1066.0,2658.0
Gwinnett,SUWANEE G,3904.0,304.0,760.0,300.0,0.0,1364.0,208.0,787.0,531.0,1.0,1527.0,2891.0
Gwinnett,BAYCREEK J,4567.0,198.0,543.0,274.0,0.0,1015.0,306.0,1264.0,617.0,5.0,2192.0,3207.0
