County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total Votes
Richmond,302,1032.0,29.0,72.0,52.0,0.0,153.0,135.0,200.0,113.0,0.0,448.0,601.0
Richmond,303,1417.0,176.0,477.0,210.0,1.0,864.0,26.0,128.0,126.0,0.0,280.0,1144.0
Richmond,304,365.0,61.0,70.0,49.0,0.0,180.0,9.0,42.0,41.0,0.0,92.0,272.0
Richmond,305,428.0,51.0,166.0,93.0,1.0,311.0,5.0,34.0,33.0,0.0,72.0,383.0
Richmond,306,3934.0,227.0,398.0,297.0,0.0,922.0,269.0,805.0,545.0,3.0,1622.0,2544.0
Richmond,307,1642.0,189.0,395.0,206.0,0.0,790.0,59.0,154.0,189.0,0.0,402.0,1192.0
Richmond,308,622.0,46.0,68.0,44.0,0.0,158.0,46.0,106.0,72.0,1.0,225.0,383.0
Richmond,309,3340.0,89.0,142.0,100.0,1.0,332.0,299.0,1086.0,722.0,2.0,2109.0,2441.0
Richmond,310,5163.0,260.0,406.0,199.0,1.0,866.0,387.0,1337.0,945.0,4.0,2673.0,3539.0
Richmond,401,2093.0,32.0,61.0,37.0,0.0,130.0,225.0,680.0,473.0,0.0,1378.0,1508.0
Richmond,402,3311.0,78.0,85.0,56.0,1.0,220.0,413.0,507.0,534.0,3.0,1457.0,1677.0
Richmond,404,1748.0,47.0,63.0,61.0,1.0,172.0,222.0,444.0,322.0,3.0,991.0,1163.0
Richmond,405,4424.0,60.0,142.0,96.0,0.0,298.0,326.0,1417.0,1092.0,5.0,2840.0,3138.0
Richmond,406,3221.0,61.0,102.0,63.0,1.0,227.0,322.0,977.0,786.0,4.0,2089.0,2316.0
Richmond,501,3549.0,77.0,105.0,107.0,1.0,290.0,352.0,711.0,742.0,3.0,1808.0,2098.0
Richmond,502,4138.0,94.0,107.0,72.0,1.0,274.0,451.0,926.0,855.0,7.0,2239.0,2513.0
Richmond,503,4021.0,102.0,201.0,106.0,1.0,410.0,357.0,870.0,749.0,4.0,1980.0,2390.0
Richmond,504,2339.0,146.0,107.0,90.0,2.0,345.0,241.0,364.0,279.0,4.0,888.0,1233.0
Richmond,506,416.0,12.0,47.0,13.0,0.0,72.0,41.0,69.0,42.0,3.0,155.0,227.0
Richmond,507,968.0,47.0,70.0,39.0,0.0,156.0,130.0,205.0,132.0,1.0,468.0,624.0
Richmond,509,2172.0,57.0,84.0,64.0,1.0,206.0,203.0,599.0,420.0,4.0,1226.0,1432.0
Richmond,601,3988.0,173.0,269.0,134.0,5.0,581.0,307.0,776.0,526.0,12.0,1621.0,2202.0
Richmond,603,3570.0,412.0,415.0,272.0,0.0,1099.0,277.0,451.0,394.0,2.0,1124.0,2223.0
Richmond,604,1811.0,167.0,85.0,80.0,0.0,332.0,174.0,301.0,221.0,0.0,696.0,1028.0
Richmond,605,3880.0,246.0,330.0,224.0,0.0,800.0,302.0,626.0,521.0,2.0,1451.0,2251.0
