County,Precinct,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total Votes
Dougherty,1st Christian Church,1505.0,196.0,220.0,141.0,0.0,557.0,183.0,200.0,137.0,1.0,521.0,1078.0
Dougherty,Lovett Hall,1174.0,11.0,5.0,0.0,0.0,16.0,187.0,163.0,33.0,1.0,384.0,400.0
Seminole,Precinct 1,1292.0,201.0,349.0,66.0,0.0,616.0,60.0,129.0,53.0,0.0,242.0,858.0
Seminole,Precinct 2,1122.0,97.0,311.0,51.0,0.0,459.0,47.0,171.0,59.0,0.0,277.0,736.0
Seminole,Precinct 3,1174.0,29.0,48.0,4.0,0.0,81.0,136.0,292.0,101.0,0.0,529.0,610.0
Seminole,Precinct 4,1121.0,218.0,301.0,52.0,0.0,571.0,68.0,84.0,30.0,0.0,182.0,753.0
Seminole,Precinct 5,1227.0,316.0,305.0,72.0,0.0,693.0,36.0,51.0,44.0,0.0,131.0,824.0
Randolph,Coleman,229.0,27.0,44.0,15.0,0.0,86.0,30.0,38.0,16.0,1.0,85.0,171.0
Randolph,Shellman,929.0,105.0,137.0,31.0,0.0,273.0,172.0,110.0,123.0,1.0,406.0,679.0
Randolph,Benevolence,354.0,45.0,85.0,13.0,0.0,143.0,43.0,43.0,21.0,0.0,107.0,250.0
Randolph,Cuthbert-Courthouse,2253.0,55.0,449.0,90.0,0.0,594.0,142.0,505.0,263.0,0.0,910.0,1504.0
Randolph,Cuthbert,323.0,3.0,6.0,1.0,0.0,10.0,50.0,132.0,46.0,1.0,229.0,239.0
Randolph,Springvale,253.0,18.0,26.0,11.0,0.0,55.0,27.0,61.0,38.0,0.0,126.0,181.0
Clay,Bluffton,383.0,32.0,84.0,28.0,0.0,144.0,24.0,58.0,41.0,0.0,123.0,267.0
Clay,Zetto,366.0,14.0,52.0,9.0,0.0,75.0,41.0,78.0,59.0,0.0,178.0,253.0
Clay,Court House,390.0,9.0,32.0,12.0,0.0,53.0,54.0,88.0,53.0,0.0,195.0,248.0
Clay,Old Head Start,453.0,22.0,86.0,19.0,0.0,127.0,37.0,62.0,82.0,0.0,181.0,308.0
Clay,Days Cross Road,461.0,31.0,117.0,34.0,0.0,182.0,30.0,64.0,68.0,0.0,162.0,344.0
Terrell,Dawson,3043.0,63.0,228.0,73.0,0.0,364.0,330.0,657.0,524.0,0.0,1511.0,1875.0
Terrell,Sasser,1355.0,162.0,363.0,62.0,0.0,587.0,96.0,166.0,91.0,0.0,353.0,940.0
Terrell,Bronwood,885.0,115.0,136.0,34.0,0.0,285.0,73.0,117.0,116.0,0.0,306.0,591.0
Terrell,Parrott,412.0,102.0,64.0,16.0,0.0,182.0,69.0,30.0,38.0,0.0,137.0,319.0
Terrell,Graves,598.0,103.0,121.0,31.0,0.0,255.0,37.0,68.0,74.0,1.0,180.0,435.0
Terrell,Herod-Dover,301.0,44.0,48.0,13.0,0.0,105.0,43.0,29.0,32.0,0.0,104.0,209.0
Schley,Precinct One,2882.0,274.0,1260.0,140.0,1.0,1675.0,92.0,290.0,171.0,0.0,553.0,2228.0
Chattahoochee,Activity Center,0.0,279.0,420.0,112.0,2.0,813.0,164.0,366.0,184.0,1.0,715.0,1528.0
Dooly,Lilly,536.0,52.0,91.0,17.0,0.0,160.0,62.0,77.0,42.0,0.0,181.0,341.0
Dooly,Byromville,609.0,93.0,91.0,26.0,1.0,211.0,79.0,86.0,61.0,1.0,227.0,438.0
Dooly,Unadilla,1634.0,124.0,295.0,76.0,2.0,497.0,169.0,253.0,134.0,0.0,556.0,1053.0
Dooly,Vienna,2696.0,77.0,693.0,83.0,0.0,853.0,149.0,541.0,229.0,0.0,919.0,1772.0
Dooly,Pinehurst,474.0,82.0,148.0,37.0,0.0,267.0,39.0,46.0,26.0,0.0,111.0,378.0
Taylor,Precinct 1,1108.0,16.0,82.0,9.0,1.0,108.0,121.0,277.0,151.0,1.0,550.0,658.0
Taylor,Precinct 5,2219.0,159.0,961.0,140.0,8.0,1268.0,60.0,176.0,84.0,1.0,321.0,1589.0
Taylor,Precinct 6,2073.0,152.0,614.0,116.0,3.0,885.0,103.0,235.0,274.0,1.0,613.0,1498.0
Crawford,District 1A,516.0,63.0,97.0,22.0,0.0,182.0,42.0,53.0,44.0,0.0,139.0,321.0
Crawford,District 1B,1025.0,38.0,199.0,31.0,1.0,269.0,59.0,251.0,122.0,0.0,432.0,701.0
Crawford,District 2,1659.0,114.0,440.0,90.0,0.0,644.0,67.0,296.0,191.0,1.0,555.0,1199.0
Crawford,District 3,1738.0,184.0,684.0,118.0,0.0,986.0,46.0,122.0,60.0,0.0,228.0,1214.0
Crawford,District 4,1805.0,340.0,582.0,137.0,0.0,1059.0,47.0,91.0,70.0,0.0,208.0,1267.0
Crawford,District 5,1769.0,341.0,566.0,118.0,0.0,1025.0,53.0,89.0,70.0,0.0,212.0,1237.0
Peach,Byron 1,2636.0,150.0,1073.0,131.0,2.0,1356.0,80.0,396.0,151.0,0.0,627.0,1983.0
Peach,Byron 2,5028.0,230.0,1680.0,291.0,4.0,2205.0,139.0,867.0,413.0,1.0,1420.0,3625.0
Peach,Claude,908.0,168.0,296.0,51.0,1.0,516.0,41.0,78.0,36.0,0.0,155.0,671.0
Peach,Fort Valley 1,2669.0,90.0,447.0,92.0,1.0,630.0,172.0,612.0,312.0,0.0,1096.0,1726.0
Peach,Fort Valley 2,2670.0,87.0,363.0,67.0,1.0,518.0,168.0,605.0,287.0,0.0,1060.0,1578.0
Peach,Fort Valley 3,2720.0,26.0,179.0,41.0,0.0,246.0,210.0,724.0,458.0,2.0,1394.0,1640.0
Peach,Powersville,1365.0,144.0,472.0,79.0,4.0,699.0,37.0,171.0,98.0,1.0,307.0,1006.0
